番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
1,岡本　宰,61,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房拉致問題対策本部事務局審議官 併任 内閣府大臣官房審議官（拉致被害者等支援担当）,内閣官房,2022-07-18,2024-06-28,株式会社名古屋証券取引所,証券取引業務,常務取締役,無,無
2,安藤　晴彦,61,内閣官房内閣審議官（内閣官房副長官補付）,内閣官房,2023-03-31,2024-06-29,一般社団法人JCCP国際石油・ガス・持続可能エネルギー協力機関,産油国等との人財育成協力及び技術協力,専務理事,無,無
3,大矢　俊雄,60,内閣官房内閣審議官（内閣官房副長官補付） 命 海外ビジネス投資支援室長,内閣官房,2023-07-18,2024-05-01,鹿島建設株式会社,総合建設業,顧問,無,無
4,大矢　俊雄,60,内閣官房内閣審議官（内閣官房副長官補付） 命 海外ビジネス投資支援室長,内閣官房,2023-07-18,2024-06-16,株式会社ディー・エヌ・エー,IT・インターネット事業,Executive Economist,無,無
5,大矢　俊雄,60,内閣官房内閣審議官（内閣官房副長官補付） 命 海外ビジネス投資支援室長,内閣官房,2023-07-18,2024-07-01,株式会社Tryfunds,海外事業投資への助言や子会社を通じた投資ファンドの運営等,顧問,無,無
6,吉川　浩民,59,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房デジタル田園都市国家構想実現会議事務局長 命 内閣官房デジタル行財政改革会議事務局局員,内閣官房,2024-07-05,2024-11-01,株式会社みずほ銀行,金融業,顧問,無,無
7,黒木　理恵,53,内閣官房内閣審議官（内閣官房副長官補付）,内閣官房,2024-08-31,2024-09-01,消費者庁,国家公務,審議官,無,無
8,新原　浩朗,65,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房国際博覧会推進本部事務局長 命 内閣官房新しい資本主義実現本部事務局長代理 命 内閣官房新しい資本主義実現本部事務局私的独占禁止法特例法担当室長 命 内閣官房スタートアップ創出総括官,内閣官房,2024-09-30,2024-11-01,一般財団法人キヤノングローバル戦略研究所,調査・研究,研究主幹（非常勤）,無,無
9,新原　浩朗,65,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房国際博覧会推進本部事務局長 命 内閣官房新しい資本主義実現本部事務局長代理 命 内閣官房新しい資本主義実現本部事務局私的独占禁止法特例法担当室長 命 内閣官房スタートアップ創出総括官,内閣官房,2024-09-30,2025-01-01,株式会社NTTデータ経営研究所,調査・研究、コンサルティング,特別顧問,無,無
10,平川　薫,60,内閣法制局第二部長,内閣法制局,2024-07-04,2024-11-01,SMBC日興証券株式会社,証券業,顧問,無,無
